,address,species,block,street,trap,address_number_and_street,latitude,longitude,address_accuracy,wnv_present,num_mosquitos,year,month,day,station,stat_1_tmax,stat_1_tmin,stat_1_tavg,stat_1_precip_total,day_length_mprec,day_length_nearh,sunrise_hours,sunset_hours,mixed_tmax,mixed_tmin,mixed_precip_total,stat_2_tmax,stat_2_tmin,stat_2_tavg,stat_2_precip_total
2723,"4200 North Richmond Street, Chicago, IL 60618, USA",CULEX PIPIENS/RESTUANS,42, N RICHMOND ST,T146,"4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,9,0,9,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2724,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS,42, W 127TH PL,T135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.724608,8,0,13,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2725,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.724608,8,0,17,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2726,"4200 West 31st Street, Chicago, IL 60623, USA",CULEX PIPIENS,42, W 31ST ST,T036,"4200  W 31ST ST, Chicago, IL",41.837085,-87.729384,9,0,3,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2727,"4200 West 31st Street, Chicago, IL 60623, USA",CULEX PIPIENS/RESTUANS,42, W 31ST ST,T036,"4200  W 31ST ST, Chicago, IL",41.837085,-87.729384,9,0,2,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2728,"4500 North Campbell Avenue, Chicago, IL 60625, USA",CULEX PIPIENS/RESTUANS,45, N CAMPBELL AVE,T220,"4500  N CAMPBELL AVE, Chicago, IL",41.963976,-87.69181,9,0,3,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2729,"4600 Milwaukee Avenue, Chicago, IL 60630, USA",CULEX PIPIENS,46, N MILWAUKEE AVE,T003,"4600  N MILWAUKEE AVE, Chicago, IL",41.964242,-87.757639,8,0,9,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2730,"4600 Milwaukee Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,46, N MILWAUKEE AVE,T003,"4600  N MILWAUKEE AVE, Chicago, IL",41.964242,-87.757639,8,0,10,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2731,"4700 South Cornell Avenue, Chicago, IL 60615, USA",CULEX PIPIENS,47, S CORNELL AVE,T075,"4700  S CORNELL AVE, Chicago, IL",41.799282,-87.585487,8,0,4,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2732,"4700 South Cornell Avenue, Chicago, IL 60615, USA",CULEX PIPIENS/RESTUANS,47, S CORNELL AVE,T075,"4700  S CORNELL AVE, Chicago, IL",41.799282,-87.585487,8,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2733,"4700 South Cornell Avenue, Chicago, IL 60615, USA",CULEX RESTUANS,47, S CORNELL AVE,T075,"4700  S CORNELL AVE, Chicago, IL",41.799282,-87.585487,8,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2734,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",CULEX PIPIENS,49, W BALMORAL AVE,T025,"4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,9,0,5,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2735,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,49, W BALMORAL AVE,T025,"4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,9,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2736,"4900 West Sunnyside Avenue, Chicago, IL 60630, USA",CULEX PIPIENS,49, W SUNNYSIDE AVE,T004,"4900  W SUNNYSIDE AVE, Chicago, IL",41.962728,-87.748367,9,0,8,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2737,"5000 South Central Avenue, Chicago, IL 60638, USA",CULEX PIPIENS,50, S CENTRAL AVE,T031,"5000  S CENTRAL AVE, Chicago, IL",41.801498,-87.763416,9,0,16,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2738,"5000 South Central Avenue, Chicago, IL 60638, USA",CULEX PIPIENS/RESTUANS,50, S CENTRAL AVE,T031,"5000  S CENTRAL AVE, Chicago, IL",41.801498,-87.763416,9,0,3,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2739,"5000 South Central Avenue, Chicago, IL 60638, USA",CULEX TERRITANS,50, S CENTRAL AVE,T031,"5000  S CENTRAL AVE, Chicago, IL",41.801498,-87.763416,9,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2740,"5000 South Union Avenue, Chicago, IL 60609, USA",CULEX PIPIENS,50, S UNION AVE,T082,"5000  S UNION AVE, Chicago, IL",41.803423,-87.642984,8,0,6,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2741,"5000 South Union Avenue, Chicago, IL 60609, USA",CULEX PIPIENS/RESTUANS,50, S UNION AVE,T082,"5000  S UNION AVE, Chicago, IL",41.803423,-87.642984,8,0,5,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2742,"5200 South Kolmar Avenue, Chicago, IL 60632, USA",CULEX PIPIENS,52, S KOLMAR,T114,"5200  S KOLMAR, Chicago, IL",41.798697,-87.736812,8,0,17,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2743,"5200 South Kolmar Avenue, Chicago, IL 60632, USA",CULEX PIPIENS/RESTUANS,52, S KOLMAR,T114,"5200  S KOLMAR, Chicago, IL",41.798697,-87.736812,8,0,6,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2744,"5200 South Kolmar Avenue, Chicago, IL 60632, USA",CULEX TERRITANS,52, S KOLMAR,T114,"5200  S KOLMAR, Chicago, IL",41.798697,-87.736812,8,0,4,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2745,"5200 South Nordica Avenue, Chicago, IL 60638, USA",CULEX PIPIENS,52, S NORDICA,T070,"5200  S NORDICA, Chicago, IL",41.797616,-87.797894,8,0,2,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2746,"5200 South Nordica Avenue, Chicago, IL 60638, USA",CULEX PIPIENS/RESTUANS,52, S NORDICA,T070,"5200  S NORDICA, Chicago, IL",41.797616,-87.797894,8,0,4,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2747,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX PIPIENS,53, W AGATITE AVE,T141,"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,9,0,2,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2748,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,9,0,3,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2749,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX PIPIENS,58, N WESTERN AVE,T028,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,9,0,6,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2750,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX PIPIENS/RESTUANS,58, N WESTERN AVE,T028,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,9,0,5,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2751,"6000 North Avondale Avenue, Chicago, IL 60631, USA",CULEX PIPIENS,60, N AVONDALE AVE,T006,"6000  N AVONDALE AVE, Chicago, IL",41.990284,-87.797127,8,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2752,"6000 North Avondale Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,60, N AVONDALE AVE,T006,"6000  N AVONDALE AVE, Chicago, IL",41.990284,-87.797127,8,0,10,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2753,"6000 West Montrose Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,60, W MONTROSE DR,T017,"6000  W MONTROSE DR, Chicago, IL",41.960616,-87.777189,9,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2754,"6000 West Roscoe Street, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,60, W ROSCOE ST,T005,"6000  W ROSCOE ST, Chicago, IL",41.942114,-87.776385,8,0,2,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2755,"6100 North Lemont Avenue, Chicago, IL 60646, USA",CULEX PIPIENS,61, N LEMONT AVE,T012,"6100  N LEMONT AVE, Chicago, IL",41.991429,-87.747113,8,0,3,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2756,"6100 North Lemont Avenue, Chicago, IL 60646, USA",CULEX PIPIENS/RESTUANS,61, N LEMONT AVE,T012,"6100  N LEMONT AVE, Chicago, IL",41.991429,-87.747113,8,0,11,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2757,"6100 South Melvina Avenue, Chicago, IL 60638, USA",CULEX PIPIENS,61, S MELVINA AVE,T071,"6100  S MELVINA AVE, Chicago, IL",41.781416,-87.776532,8,0,3,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2758,"6100 South Melvina Avenue, Chicago, IL 60638, USA",CULEX PIPIENS/RESTUANS,61, S MELVINA AVE,T071,"6100  S MELVINA AVE, Chicago, IL",41.781416,-87.776532,8,0,4,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2759,"6100 West Fullerton Avenue, Chicago, IL 60639, USA",CULEX PIPIENS,61, W FULLERTON AVE,T013,"6100  W FULLERTON AVE, Chicago, IL",41.923738,-87.785288,9,0,37,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2760,"6100 West Fullerton Avenue, Chicago, IL 60639, USA",CULEX PIPIENS/RESTUANS,61, W FULLERTON AVE,T013,"6100  W FULLERTON AVE, Chicago, IL",41.923738,-87.785288,9,0,53,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2761,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX PIPIENS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2762,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX PIPIENS/RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,0,2,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2763,"6300 West 64th Street, Chicago, IL 60638, USA",CULEX PIPIENS,63, W 64TH ST,T155,"6300  W 64TH ST, Chicago, IL",41.776156,-87.778927,9,0,27,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2764,"6300 West 64th Street, Chicago, IL 60638, USA",CULEX PIPIENS/RESTUANS,63, W 64TH ST,T155,"6300  W 64TH ST, Chicago, IL",41.776156,-87.778927,9,0,23,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2765,"6400 South Stony Island Avenue, Chicago, IL 60637, USA",CULEX PIPIENS,64, S STONY ISLAND AVE,T077,"6400  S STONY ISLAND AVE, Chicago, IL",41.778748,-87.586427,8,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2766,"6400 West Strong Street, Chicago, IL, USA",CULEX PIPIENS,64, W STRONG ST,T014,"6400  W STRONG ST, Chicago, IL",41.970248,-87.787992,8,0,19,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2767,"6400 West Strong Street, Chicago, IL, USA",CULEX PIPIENS/RESTUANS,64, W STRONG ST,T014,"6400  W STRONG ST, Chicago, IL",41.970248,-87.787992,8,0,9,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2768,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,8,0,2,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2769,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,8,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2770,"6600 South Kilpatrick Avenue, Chicago, IL 60629, USA",CULEX PIPIENS,66, S KILPATRICK AVE,T156,"6600  S KILPATRICK AVE, Chicago, IL",41.772846,-87.740029,9,1,8,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2771,"6600 South Kilpatrick Avenue, Chicago, IL 60629, USA",CULEX PIPIENS/RESTUANS,66, S KILPATRICK AVE,T156,"6600  S KILPATRICK AVE, Chicago, IL",41.772846,-87.740029,9,0,5,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2772,"6700 South Kedzie Avenue, Chicago, IL 60629, USA",CULEX PIPIENS,67, S KEDZIE AVE,T066,"6700  S KEDZIE AVE, Chicago, IL",41.77166,-87.703047,8,0,30,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2773,"6700 South Kedzie Avenue, Chicago, IL 60629, USA",CULEX PIPIENS/RESTUANS,67, S KEDZIE AVE,T066,"6700  S KEDZIE AVE, Chicago, IL",41.77166,-87.703047,8,0,31,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2774,"6700 South Kedzie Avenue, Chicago, IL 60629, USA",CULEX RESTUANS,67, S KEDZIE AVE,T066,"6700  S KEDZIE AVE, Chicago, IL",41.77166,-87.703047,8,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2775,"6700 South Kedzie Avenue, Chicago, IL 60629, USA",CULEX TERRITANS,67, S KEDZIE AVE,T066,"6700  S KEDZIE AVE, Chicago, IL",41.77166,-87.703047,8,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2776,"6800 West Belden Avenue, Chicago, IL 60707, USA",CULEX PIPIENS,68, W BELDEN AVE,T037,"6800  W BELDEN AVE, Chicago, IL",41.921177,-87.79518,8,0,9,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2777,"6800 West Belden Avenue, Chicago, IL 60707, USA",CULEX PIPIENS/RESTUANS,68, W BELDEN AVE,T037,"6800  W BELDEN AVE, Chicago, IL",41.921177,-87.79518,8,0,11,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2778,"7000 North Moselle Avenue, Chicago, IL 60646, USA",CULEX PIPIENS,70, N MOSELL AVE,T008,"7000  N MOSELL AVE, Chicago, IL",42.008314,-87.777921,9,0,15,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2779,"7000 North Moselle Avenue, Chicago, IL 60646, USA",CULEX PIPIENS/RESTUANS,70, N MOSELL AVE,T008,"7000  N MOSELL AVE, Chicago, IL",42.008314,-87.777921,9,0,12,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2780,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX PIPIENS,70,  W ARMITAGE AVENUE,T151,"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,8,0,17,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2781,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,8,0,13,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2782,"7100 South South Shore Drive, Chicago, IL 60649, USA",CULEX PIPIENS,71, S SOUTH SHORE DR,T079,"7100  S SOUTH SHORE DR, Chicago, IL",41.766202,-87.562889,9,0,4,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2783,"7100 South South Shore Drive, Chicago, IL 60649, USA",CULEX PIPIENS/RESTUANS,71, S SOUTH SHORE DR,T079,"7100  S SOUTH SHORE DR, Chicago, IL",41.766202,-87.562889,9,0,4,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2784,"7100 South South Shore Drive, Chicago, IL 60649, USA",CULEX RESTUANS,71, S SOUTH SHORE DR,T079,"7100  S SOUTH SHORE DR, Chicago, IL",41.766202,-87.562889,9,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2785,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX PIPIENS,72, N OKETO AVE,T016,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.811506,8,0,26,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2786,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,72, N OKETO AVE,T016,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.811506,8,0,23,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2787,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX TERRITANS,72, N OKETO AVE,T016,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.811506,8,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2788,"7300 Cicero Avenue, Chicago, IL 60638, USA",CULEX PIPIENS,73, S CICERO AVE,T067,"7300  S CICERO AVE, Chicago, IL",41.759346,-87.745602,9,0,3,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2789,"7300 Cicero Avenue, Chicago, IL 60638, USA",CULEX PIPIENS/RESTUANS,73, S CICERO AVE,T067,"7300  S CICERO AVE, Chicago, IL",41.759346,-87.745602,9,0,11,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2790,"7700 South Eberhart Avenue, Chicago, IL 60619, USA",CULEX PIPIENS/RESTUANS,77, S EBERHART AVE,T080,"7700  S EBERHART AVE, Chicago, IL",41.754676,-87.612922,9,0,15,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2791,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,0,9,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2792,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,0,1,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2793,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",CULEX PIPIENS,93, S DR MARTIN LUTHER KING JR DR,T162,"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",41.725517,-87.614258,8,0,4,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2794,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",CULEX PIPIENS/RESTUANS,93, S DR MARTIN LUTHER KING JR DR,T162,"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",41.725517,-87.614258,8,0,4,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2795,"9600 South Hoyne Avenue, Chicago, IL 60643, USA",CULEX PIPIENS,96, S HOYNE AVE,T161,"9600  S HOYNE AVE, Chicago, IL",41.719059,-87.675088,9,0,3,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2796,"9600 South Hoyne Avenue, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,96, S HOYNE AVE,T161,"9600  S HOYNE AVE, Chicago, IL",41.719059,-87.675088,9,0,7,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2797,"9800 South Avenue G, Chicago, IL 60617, USA",CULEX PIPIENS,98, S AVENUE G,T100,"9800  S AVENUE G, Chicago, IL",41.717753,-87.531657,8,0,12,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2798,"9800 South Avenue G, Chicago, IL 60617, USA",CULEX PIPIENS/RESTUANS,98, S AVENUE G,T100,"9800  S AVENUE G, Chicago, IL",41.717753,-87.531657,8,0,2,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2799,"Chicago Midway International Airport (MDW), 5200 West 63rd Street, Chicago, IL 60638, USA",CULEX PIPIENS,52, W 63RD ST,T065,"5200  W 63RD ST, Chicago, IL",41.778297,-87.752411,9,0,29,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2800,"Chicago Midway International Airport (MDW), 5200 West 63rd Street, Chicago, IL 60638, USA",CULEX PIPIENS/RESTUANS,52, W 63RD ST,T065,"5200  W 63RD ST, Chicago, IL",41.778297,-87.752411,9,0,13,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2801,"Chicago Midway International Airport (MDW), 5200 West 63rd Street, Chicago, IL 60638, USA",CULEX TERRITANS,52, W 63RD ST,T065,"5200  W 63RD ST, Chicago, IL",41.778297,-87.752411,9,0,3,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2802,"Chicago, IL, USA",CULEX PIPIENS,43, N ASHLAND AVE OVERPASS,T145,"4300  N ASHLAND AVE OVERPASS, Chicago, IL",41.878114,-87.629798,3,0,3,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
2803,"East 138th Street, Riverdale, IL 60827, USA",CULEX PIPIENS,82, E 138TH ST,T097,"8200  E 138TH ST, Chicago, IL",41.644612,-87.604498,5,0,2,2007,10,4,1,82,51,67.0,0.0,697.0,12.0,5.866666666666667,17.483333333333334,82.5,53.5,0.0,83,56,70.0,0.0
